Data - FkData__DataCompleta,sum
2021-01-03,88
2021-01-10,227
2021-01-17,200
2021-01-24,210
2021-01-31,217
2021-02-07,218
2021-02-14,261
2021-02-21,372
2021-02-28,406
2021-03-07,485
2021-03-14,584
2021-03-21,588
2021-03-28,566
2021-04-04,551
2021-04-11,560
2021-04-18,487
2021-04-25,485
2021-05-02,475
2021-05-09,495
2021-05-16,584
2021-05-23,635
2021-05-30,563
2021-06-06,588
2021-06-13,513
2021-06-20,471
2021-06-27,354
2021-07-04,333
2021-07-11,334
2021-07-18,321
2021-07-25,251
2021-08-01,259
2021-08-08,274
2021-08-15,205
2021-08-22,245
2021-08-29,203
2021-09-05,182
2021-09-12,169
2021-09-19,183
2021-09-26,190
2021-10-03,176
2021-10-10,123
2021-10-17,172
2021-10-24,138
2021-10-31,145
2021-11-07,107
2021-11-14,90
2021-11-21,136
2021-11-28,167
2021-12-05,186
2021-12-12,226
2021-12-19,263
2021-12-26,381
2022-01-02,626
2022-01-09,645
2022-01-16,619
2022-01-23,623
2022-01-30,368
2022-02-06,289
2022-02-13,202
2022-02-20,122
2022-02-27,81
2022-03-06,108
2022-03-13,54
2022-03-20,42
2022-03-27,49
2022-04-03,41
2022-04-10,47
2022-04-17,47
2022-04-24,52
2022-05-01,43
2022-05-08,74
2022-05-15,89
2022-05-22,132
2022-05-29,126
2022-06-05,133
2022-06-12,118
2022-06-19,156
2022-06-26,129
2022-07-03,105
2022-07-10,0
