Data - FkData → DataCompleta,Clima Local - FkEstacao → Region,Soma de PrecipitacaoTotal
2021-01-01T00:00:00-03:00,CO,11338.604
2021-01-01T00:00:00-03:00,N,7579.202
2021-01-01T00:00:00-03:00,NE,3981.9949
2021-01-01T00:00:00-03:00,S,17421.23
2021-01-01T00:00:00-03:00,SE,13826.826
2021-02-01T00:00:00-03:00,CO,12448.011
2021-02-01T00:00:00-03:00,N,10756.803
2021-02-01T00:00:00-03:00,NE,6353.197
2021-02-01T00:00:00-03:00,S,6414.0137
2021-02-01T00:00:00-03:00,SE,24366.947
2021-03-01T00:00:00-03:00,CO,6011.6055
2021-03-01T00:00:00-03:00,N,9711.416
2021-03-01T00:00:00-03:00,NE,5973.402
2021-03-01T00:00:00-03:00,S,9088.82
2021-03-01T00:00:00-03:00,SE,11036.852
2021-04-01T00:00:00-03:00,CO,3135.7966
2021-04-01T00:00:00-03:00,N,5814.602
2021-04-01T00:00:00-03:00,NE,6940.411
2021-04-01T00:00:00-03:00,S,2297.1936
2021-04-01T00:00:00-03:00,SE,5130.195
